x1_m,x2_m,Vc_V,C_F,Q1_N,Q2_N,Qtranslation_N
-1.3654e-5,-1.3654e-5,3.0,6.958574653420221e-12,-3.419547781719573e-7,-8.971202873426843e-6,-9.3131576515988e-6
-1.3652e-5,-1.3652e-5,3.0,6.954458444679535e-12,-3.409067007214429e-7,-8.869251770719405e-6,-9.210158471440848e-6
-1.3650000000000001e-5,-1.3650000000000001e-5,3.0,6.950387516390968e-12,-3.3987022764805555e-7,-8.769513286838241e-6,-9.109383514486297e-6
-1.3648e-5,-1.3648e-5,3.0,6.9463608959192785e-12,-3.388451096172565e-7,-8.671916591785382e-6,-9.010761701402639e-6
-1.3646000000000001e-5,-1.3646000000000001e-5,3.0,6.942377641553643e-12,-3.3783110522202516e-7,-8.576393820684614e-6,-8.914224925906638e-6
-1.3644e-5,-1.3644e-5,3.0,6.938436841219997e-12,-3.3682798065276653e-7,-8.482879923796039e-6,-8.819707904448805e-6
-1.3642e-5,-1.3642e-5,3.0,6.9345376112583606e-12,-3.3583550938387304e-7,-8.391312524929018e-6,-8.72714803431289e-6
-1.3640000000000002e-5,-1.3640000000000002e-5,3.0,6.93067909526137e-12,-3.3485347187598374e-7,-8.301631787832278e-6,-8.636485259708262e-6
-1.3638e-5,-1.3638e-5,3.0,6.926860462970673e-12,-3.3388165529307127e-7,-8.213780290137812e-6,-8.547661945430884e-6
-1.3636000000000001e-5,-1.3636000000000001e-5,3.0,6.923080909227864e-12,-3.3291985323351347e-7,-8.127702904436364e-6,-8.460622757669877e-6
-1.3634e-5,-1.3634e-5,3.0,6.919339652976857e-12,-3.319678654743486e-7,-8.043346686073047e-6,-8.375314551547395e-6
-1.3632000000000001e-5,-1.3632000000000001e-5,3.0,6.9156359363148565e-12,-3.31025497727992e-7,-7.960660767269e-6,-8.291686264996992e-6
-1.3630000000000002e-5,-1.3630000000000002e-5,3.0,6.9119690235891234e-12,-3.300925614106882e-7,-7.879596257188636e-6,-8.209688818599324e-6
-1.3628e-5,-1.3628e-5,3.0,6.908338200537009e-12,-3.2916887342206e-7,-7.800106147594768e-6,-8.129275021016827e-6
-1.3626000000000001e-5,-1.3626000000000001e-5,3.0,6.904742773466867e-12,-3.2825425593513144e-7,-7.72214522375087e-6,-8.050399479686e-6
-1.3625866666666668e-5,-1.3625866666666668e-5,3.0,6.904504320235782e-12,-3.28193599683015e-7,-7.71700112477755e-6,-8.045194724460565e-6
-1.3624e-5,-1.3624e-5,3.0,6.9011820684774925e-12,-3.273485361962309e-7,-7.645669980249275e-6,-7.973018516445506e-6
-1.3622000000000001e-5,-1.3622000000000001e-5,3.0,6.897655430714079e-12,-3.2645154633425446e-7,-7.570638541465531e-6,-7.897090087799785e-6
-1.362e-5,-1.362e-5,3.0,6.8941622236585896e-12,-3.2556312317875017e-7,-7.4970105863539095e-6,-7.822573709532659e-6
