x1_m,linear_N,cubic_N,soft_N,hard_N
-1.20904e-5,3.965575635000001e-5,5.365162771588481e-7,5.231490078387098e-20,0.0
-1.2042800000000001e-5,3.949963132500001e-5,5.302043860522642e-7,4.85884384541883e-20,0.0
-1.19952e-5,3.934350630000001e-5,5.23942194617856e-7,4.520750415287794e-20,0.0
-1.19476e-5,3.918738127500001e-5,5.177295064142321e-7,4.213295927132579e-20,0.0
-1.1900000000000001e-5,3.903125625000001e-5,5.115661250000003e-7,3.933086687581162e-20,0.0
-1.18524e-5,3.887513122500001e-5,5.054518539337681e-7,3.677170270371306e-20,0.0
-1.1804800000000001e-5,3.871900620000001e-5,4.993864967741441e-7,3.442970002385155e-20,0.0
-1.17572e-5,3.8562881175000006e-5,4.933698570797361e-7,3.22823033427414e-20,0.0
-1.17096e-5,3.8406756150000014e-5,4.874017384091521e-7,3.030971102771969e-20,0.0
-1.1662000000000001e-5,3.8250631125000014e-5,4.814819443210002e-7,2.8494490891147153e-20,0.0
-1.16144e-5,3.809450610000001e-5,4.7561027837388803e-7,2.6821255898831353e-20,0.0
-1.15668e-5,3.7938381075000014e-5,4.6978654412642415e-7,2.527638962702995e-20,0.0
-1.15192e-5,3.778225605000001e-5,4.64010545137216e-7,2.3847813044321147e-20,0.0
-1.14716e-5,3.762613102500001e-5,4.5828208496487205e-7,2.252478575010948e-20,0.0
-1.1424000000000001e-5,3.7470006000000015e-5,4.526009671680002e-7,2.1297736046808097e-20,0.0
-1.13764e-5,3.731388097500001e-5,4.469669953052081e-7,2.0158115224094394e-20,0.0
-1.13288e-5,3.715775595000001e-5,4.4137997293510415e-7,1.9098272242272564e-20,0.0
-1.12812e-5,3.700163092500001e-5,4.35839703616296e-7,1.811134565746337e-20,0.0
-1.12336e-5,3.684550590000001e-5,4.3034599090739204e-7,1.7191170165103995e-20,0.0
-1.1186000000000001e-5,3.668938087500001e-5,4.2489863836700014e-7,1.6332195574393292e-20,0.0
-1.11384e-5,3.653325585000001e-5,4.19497449553728e-7,1.552941638402303e-20,0.0
-1.10908e-5,3.637713082500001e-5,4.141422280261841e-7,1.4778310423928968e-20,0.0
-1.10432e-5,3.622100580000001e-5,4.0883277734297603e-7,1.407478527091293e-20,0.0
-1.09956e-5,3.606488077500001e-5,4.035689010627121e-7,1.3415131347418226e-20,0.0
-1.0948000000000001e-5,3.590875575000001e-5,3.983504027440001e-7,1.279598078016017e-20,0.0
-1.09004e-5,3.575263072500001e-5,3.9317708594544795e-7,1.2214271234896258e-20,0.0
-1.08528e-5,3.559650570000001e-5,3.880487542256641e-7,1.1667214060335665e-20,0.0
-1.0805200000000001e-5,3.544038067500001e-5,3.8296521114325613e-7,1.1152266172064769e-20,0.0
-1.07576e-5,3.528425565000001e-5,3.77926260256832e-7,1.0667105189673317e-20,0.0
-1.071e-5,3.512813062500001e-5,3.7293170512500013e-7,1.0209607409665416e-20,0.0
-1.06624e-5,3.497200560000001e-5,3.67981349306368e-7,9.777828255410704e-21,0.0
-1.06148e-5,3.481588057500001e-5,3.6307499635954404e-7,9.36998489511682e-21,0.0
-1.0567200000000001e-5,3.4659755550000014e-5,3.5821244984313614e-7,8.984440761051279e-21,0.0
-1.05196e-5,3.450363052500001e-5,3.53393513315752e-7,8.619691739221781e-21,0.0
-1.0472e-5,3.434750550000001e-5,3.486179903360001e-7,8.274353829436612e-21,0.0
-1.04244e-5,3.419138047500001e-5,3.43885684462488e-7,7.947152101943458e-21,0.0
-1.03768e-5,3.403525545000001e-5,3.391963992538241e-7,7.636910799375017e-21,0.0
-1.0329200000000001e-5,3.387913042500001e-5,3.3454993826861615e-7,7.342544452087641e-21,0.0
-1.02816e-5,3.372300540000001e-5,3.29946105065472e-7,7.063049891647594e-21,0.0
-1.0234e-5,3.356688037500001e-5,3.2538470320300005e-7,6.797499061599447e-21,0.0
-1.01864e-5,3.341075535000001e-5,3.20865536239808e-7,6.545032537081813e-21,0.0
-1.01388e-5,3.325463032500001e-5,3.16388407734504e-7,6.3048536756220616e-21,0.0
-1.0091200000000001e-5,3.309850530000001e-5,3.119531212456961e-7,6.0762233307830685e-21,0.0
-1.00436e-5,3.294238027500001e-5,3.0755948033199197e-7,5.8584550684559014e-21,0.0
-9.996e-6,3.278625525000001e-5,3.032072885520001e-7,5.650910832663548e-21,0.0
-9.948400000000001e-6,3.263013022500001e-5,2.988963494643281e-7,5.452997013909121e-21,0.0
-9.9008e-6,3.247400520000001e-5,2.9462646662758405e-7,5.264160878492086e-21,0.0
-9.8532e-6,3.231788017500001e-5,2.903974436003761e-7,5.08388732193282e-21,0.0
-9.8056e-6,3.2161755150000005e-5,2.86209083941312e-7,4.911695913780994e-21,0.0
-9.758e-6,3.200563012500001e-5,2.820611912090001e-7,4.747138204713841e-21,0.0
-9.710400000000001e-6,3.184950510000001e-5,2.779535689620481e-7,4.5897952700223725e-21,0.0
-9.6628e-6,3.1693380075000006e-5,2.73886020759064e-7,4.4392754663950545e-21,0.0
-9.6152e-6,3.153725505000001e-5,2.698583501586561e-7,4.295212381387453e-21,0.0
-9.5676e-6,3.138113002500001e-5,2.65870360719432e-7,4.157262957155832e-21,0.0
-9.52e-6,3.122500500000001e-5,2.6192185600000007e-7,4.0251057719692336e-21,0.0
