relative_displacement_m,Q1_N,Q2_N
-2.1144680391767246e-8,-3.822443465755479e-5,3.822443465755479e-5
-2.1009137568743095e-8,-3.797940623026277e-5,3.797940623026277e-5
-2.0873594745718948e-8,-3.7734377802970754e-5,3.7734377802970754e-5
-2.0738051922694797e-8,-3.748934937567874e-5,3.748934937567874e-5
-2.060250909967065e-8,-3.724432094838672e-5,3.724432094838672e-5
-2.04669662766465e-8,-3.69992925210947e-5,3.69992925210947e-5
-2.033142345362235e-8,-3.675426409380268e-5,3.675426409380268e-5
-2.0195880630598204e-8,-3.650923566651067e-5,3.650923566651067e-5
-2.0060337807574054e-8,-3.626420723921865e-5,3.626420723921865e-5
-1.9924794984549906e-8,-3.601917881192663e-5,3.601917881192663e-5
-1.9789252161525756e-8,-3.577415038463461e-5,3.577415038463461e-5
-1.9653709338501608e-8,-3.55291219573426e-5,3.55291219573426e-5
-1.9518166515477457e-8,-3.5284093530050576e-5,3.5284093530050576e-5
-1.938262369245331e-8,-3.503906510275856e-5,3.503906510275856e-5
-1.924708086942916e-8,-3.4794036675466543e-5,3.4794036675466543e-5
-1.9111538046405012e-8,-3.454900824817453e-5,3.454900824817453e-5
-1.897599522338086e-8,-3.4303979820882504e-5,3.4303979820882504e-5
-1.8840452400356714e-8,-3.405895139359049e-5,3.405895139359049e-5
-1.8704909577332563e-8,-3.381392296629847e-5,3.381392296629847e-5
-1.8569366754308416e-8,-3.3568894539006455e-5,3.3568894539006455e-5
-1.8433823931284265e-8,-3.332386611171443e-5,3.332386611171443e-5
-1.8298281108260118e-8,-3.3078837684422415e-5,3.3078837684422415e-5
-1.8162738285235967e-8,-3.28338092571304e-5,3.28338092571304e-5
-1.802719546221182e-8,-3.258878082983838e-5,3.258878082983838e-5
-1.789165263918767e-8,-3.234375240254636e-5,3.234375240254636e-5
-1.7756109816163522e-8,-3.209872397525434e-5,3.209872397525434e-5
-1.762056699313937e-8,-3.1853695547962327e-5,3.1853695547962327e-5
-1.7485024170115224e-8,-3.160866712067031e-5,3.160866712067031e-5
-1.7349481347091073e-8,-3.136363869337829e-5,3.136363869337829e-5
-1.7213938524066926e-8,-3.111861026608628e-5,3.111861026608628e-5
-1.7078395701042775e-8,-3.0873581838794254e-5,3.0873581838794254e-5
-1.6942852878018627e-8,-3.062855341150224e-5,3.062855341150224e-5
-1.6807310054994477e-8,-3.0383524984210218e-5,3.0383524984210218e-5
-1.667176723197033e-8,-3.01384965569182e-5,3.01384965569182e-5
-1.653622440894618e-8,-2.9893468129626182e-5,2.9893468129626182e-5
-1.640068158592203e-8,-2.9648439702334165e-5,2.9648439702334165e-5
-1.626513876289788e-8,-2.9403411275042146e-5,2.9403411275042146e-5
-1.6129595939873733e-8,-2.915838284775013e-5,2.915838284775013e-5
-1.5994053116849583e-8,-2.891335442045811e-5,2.891335442045811e-5
-1.5858510293825435e-8,-2.8668325993166097e-5,2.8668325993166097e-5
-1.5722967470801285e-8,-2.8423297565874073e-5,2.8423297565874073e-5
-1.5587424647777137e-8,-2.817826913858206e-5,2.817826913858206e-5
-1.5451881824752986e-8,-2.7933240711290037e-5,2.7933240711290037e-5
-1.531633900172884e-8,-2.7688212283998024e-5,2.7688212283998024e-5
-1.518079617870469e-8,-2.7443183856706e-5,2.7443183856706e-5
-1.504525335568054e-8,-2.7198155429413988e-5,2.7198155429413988e-5
-1.490971053265639e-8,-2.6953127002121965e-5,2.6953127002121965e-5
-1.4774167709632243e-8,-2.6708098574829952e-5,2.6708098574829952e-5
-1.4638624886608094e-8,-2.6463070147537932e-5,2.6463070147537932e-5
-1.4503082063583945e-8,-2.6218041720245916e-5,2.6218041720245916e-5
-1.4367539240559796e-8,-2.5973013292953896e-5,2.5973013292953896e-5
-1.4231996417535647e-8,-2.572798486566188e-5,2.572798486566188e-5
-1.4096453594511498e-8,-2.5482956438369863e-5,2.5482956438369863e-5
-1.3960910771487349e-8,-2.5237928011077843e-5,2.5237928011077843e-5
-1.38253679484632e-8,-2.4992899583785827e-5,2.4992899583785827e-5
-1.368982512543905e-8,-2.4747871156493807e-5,2.4747871156493807e-5
-1.3554282302414902e-8,-2.450284272920179e-5,2.450284272920179e-5
-1.3418739479390753e-8,-2.425781430190977e-5,2.425781430190977e-5
-1.3283196656366604e-8,-2.4012785874617755e-5,2.4012785874617755e-5
-1.3147653833342455e-8,-2.3767757447325735e-5,2.3767757447325735e-5
-1.3012111010318306e-8,-2.352272902003372e-5,2.352272902003372e-5
-1.2876568187294156e-8,-2.32777005927417e-5,2.32777005927417e-5
-1.2741025364270007e-8,-2.3032672165449682e-5,2.3032672165449682e-5
-1.2605482541245858e-8,-2.2787643738157666e-5,2.2787643738157666e-5
-1.246993971822171e-8,-2.2542615310865646e-5,2.2542615310865646e-5
-1.233439689519756e-8,-2.229758688357363e-5,2.229758688357363e-5
-1.2198854072173411e-8,-2.205255845628161e-5,2.205255845628161e-5
-1.2063311249149262e-8,-2.1807530028989594e-5,2.1807530028989594e-5
-1.1927768426125113e-8,-2.1562501601697574e-5,2.1562501601697574e-5
-1.1792225603100964e-8,-2.1317473174405558e-5,2.1317473174405558e-5
-1.1656682780076815e-8,-2.1072444747113538e-5,2.1072444747113538e-5
-1.1521139957052666e-8,-2.082741631982152e-5,2.082741631982152e-5
-1.1385597134028517e-8,-2.05823878925295e-5,2.05823878925295e-5
-1.1250054311004368e-8,-2.0337359465237485e-5,2.0337359465237485e-5
-1.1114511487980219e-8,-2.009233103794547e-5,2.009233103794547e-5
-1.097896866495607e-8,-1.984730261065345e-5,1.984730261065345e-5
-1.0843425841931921e-8,-1.9602274183361433e-5,1.9602274183361433e-5
