t_s,t_ms,deltaE_nJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,ER_pJ,residual_aJ
0.07075,70.75,0.037390491252592875,0.04098287007041348,0.0003488821016993877,0.003941253971540473,1.3173321886698712e-20,6.947946624023039e-6,-3.289577742675483e-5
0.07125,71.25,0.03105003106372361,0.034913254144906564,0.0002837835672385662,0.004146999304819026,1.3852930042433387e-20,7.343568301372817e-6,-3.4194709482404506e-5
0.0713,71.3,0.030427286227221326,0.034318396877446616,0.0002774770611143588,0.00416858033061644,1.3920661526223302e-20,7.380688988397809e-6,-3.42189432894129e-5
0.07135,71.35,0.0298072069545266,0.03372633990445582,0.0002712127279055669,0.004190338260485456,1.3988315578380554e-20,7.417314875516618e-6,-3.444997224955954e-5
0.0714,71.4,0.02918994649443578,0.03313723369203726,0.00026499183105635927,0.004212271575188655,1.4055884447530298e-20,7.453434615014147e-6,-3.457033349103454e-5
0.0719,71.9,0.02320611213725324,0.027441600765802793,0.0002054416795784521,0.0044409225234764566,1.4725444671339746e-20,7.784615708370795e-6,-3.58409927718411e-5
0.07195,71.95,0.022629975435757024,0.026894891954133717,0.00019977871757518922,0.004464687421368733,1.4791669570644663e-20,7.814547156797128e-6,-3.59944735495609e-5
0.072,72.0,0.0220584945092192,0.026352939192666087,0.00019417346882142522,0.004488610308360754,1.485774472743848e-20,7.843871648739468e-6,-3.590965522503154e-5
0.07205,72.05,0.02149182138474776,0.025815892049764408,0.00018862705062226354,0.004512689843018858,1.4923667096654877e-20,7.872583825795551e-6,-3.622873368397533e-5
0.0721,72.1,0.020930107794577577,0.025283899831659493,0.00018314056947336366,0.004536924705840183,1.498943398324767e-20,7.900678822597577e-6,-3.627558571085822e-5
0.0726,72.6,0.015618861028399,0.020274604626768358,0.00013180821556489194,0.004787543666941306,1.563820340944229e-20,8.146955488122401e-6,-3.7454964318599837e-5
0.07265,72.65,0.015121604629359759,0.019807968958177904,0.000127051091147442,0.004813407251850645,1.570217955355096e-20,8.168077438853892e-6,-3.7503431932616616e-5
0.0727,72.7,0.014631095522308868,0.019348149698522867,0.00012236638053802815,0.0048394123681532305,1.5765994187274057e-20,8.18856126707616e-6,-3.752847353319195e-5
0.07275,72.75,0.014147479112211429,0.018895290318783876,0.00011775506069687073,0.004865558058823189,1.582964891237771e-20,8.208408341996083e-6,-3.778696747461477e-5
0.0732,73.2,0.01012873938638478,0.015156088782133759,7.971264760769945e-5,0.005107053684476788,1.6395760952264857e-20,8.35884124305245e-6,-3.86472676234126e-5
0.07325,73.25,0.009721885540298047,0.014780566702747584,7.588707225683021e-5,0.005134559862166422,1.6457971457734392e-20,8.372501136474119e-6,-3.880801854323492e-5
0.0733,73.3,0.009323473439942744,0.014413535076761264,7.214507696263193e-5,0.005162198328171669,1.652005951440504e-20,8.38557071498894e-6,-3.8767628864887603e-5
