t_s,t_ms,tau_us,x1_um,x2_um,tip_overlap_nm,bend_nm,v1_mm_s,v2_mm_s,Vout_mV,C_pF,PR_pW,Qe2_uN,Qwall2_uN,Qbend2_uN,Qfilm2_uN,ER_pJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,Dstruct_nJ,deltaE_nJ,residual_aJ,a_g
0.3702,370.2,370200.0,-13.722228112645565,-13.71485441190938,4.854411909379291,7.373700736185154,0.007171380799286418,0.0011933960961017915,-0.004551998773958246,7.112624257540436,4.933498294789852e-5,-13.141163625265412,27.09228729870791,-13.329855866935425,-0.022881459990948576,0.23795392751368505,2.301191778092351,0.013182722915970191,1.9952423469705423,0.0007044230641955304,0.0,0.3181897777075699,0.6614996445811064,2.8079812981774586
0.37025,370.25,370250.0,-13.721585967502584,-13.714742330068955,4.742330068952885,6.84363743363035,0.016731905614600907,0.0029991547730109885,-0.012605228929156812,7.112242548567614,0.0003783138008486948,-13.140464849582663,26.158738914589534,-12.371630455272895,-0.05556824917720791,0.23795393814466456,2.3011545485234013,0.013179459359580783,1.995242359212077,0.0007044234174364262,0.0,0.318149271976765,0.6614405011673089,2.7823127203680476
0.3703,370.3,370300.0,-13.720813194095962,-13.714600138988637,4.600138988635044,6.2130551073254985,0.01171698910546394,0.002226309455313379,-0.0099257209724645,7.111761895166708,0.0002345712781505277,-13.139466898969285,24.994263180598836,-11.231691119162925,-0.040184199028705174,0.23795395617595308,2.301110115950587,0.013175076292728561,1.9952423769554861,0.0007044239391907764,0.0,0.3181004380537993,0.6613371035907398,2.7565343016165182
0.37035,370.35,370350.0,-13.720528985309508,-13.7145436055513,4.5436055513000895,5.985379758208025,0.00019840353197686373,0.00010440563570166519,-0.000839361255224146,7.1115727590162505,1.6774459923129857e-6,-13.139007114656257,24.538444239741025,-10.820109513566024,-0.0013651020585480425,0.23795396040275987,2.3010939022383767,0.013173180206817611,1.9952423803646127,0.0007044240432753047,0.0,0.3180823247383205,0.6614173401101574,2.730647059610734
0.3704,370.40000000000003,370400.0,-13.720599623013882,-13.714555900276624,4.555900276623635,6.043722737257922,-0.0003955418398007213,-0.00011537466952042568,0.0007366416524852401,7.111614638754834,1.2920022004194886e-6,-13.139082893475305,24.638180078732944,-10.925579416591289,0.0017692056331261596,0.23795396056373042,2.3010978850067305,0.013173523500793977,1.9952423805354962,0.0007044240479798154,0.0,0.3180866506250025,0.6615178425545826,2.704652016334623
0.37045,370.45,370450.0,-13.720365697745525,-13.714516535051033,4.516535051031267,5.8491626944918895,0.010479991547401238,0.001850701638402928,-0.0073727198935350895,7.111479892932991,0.0001294214253060192,-13.138860504282858,24.317793980150217,-10.573862223240997,-0.03448587321985006,0.2379539622694557,2.30108484363647,0.01317248379737994,1.9952423827936592,0.0007044241068415566,0.0,0.31807256723267113,0.6615910480387935,2.678550198028043
0.3705,370.5,370500.0,-13.719641410078472,-13.71438441522686,4.38441522685937,5.256994851612256,0.016309555579463713,0.0030505813755809363,-0.012945996505682159,7.1110328333755275,0.0003990448226788921,-13.1379480140968,23.25939312177704,-9.503366921487899,-0.055385929592145625,0.23795397684060776,2.3010447870736517,0.013168579146733462,1.9952423983738727,0.000704424529458348,0.0,0.318028590001707,0.6614934407265123,2.652342635146057
0.37055,370.55,370550.0,-13.7189725283878,-13.714256036630374,4.256036630372382,4.716491757426108,0.008704328762248144,0.001733380322982279,-0.007835154151457717,7.1106014328196645,0.0001461658108978693,-13.13696212869666,22.249019536614576,-8.526268908033469,-0.030621673235733816,0.23795399200253295,2.3010081253261347,0.0131645875014866,1.9952424123847734,0.0007044249142933643,0.0,0.3179879221980455,0.6614930271362061,2.6260303623183447
0.3706,370.59999999999997,370600.0,-13.718798976948962,-13.714219397512405,4.219397512403956,4.579579436557883,-0.0005087144258102272,-5.5309132477763306e-5,-5.043565989589637e-6,7.110479787541989,6.056561402701261e-11,-13.136631376985754,21.964962182607447,-8.278764762031845,0.0013180973492668807,0.23795399413864585,2.300998688968456,0.013163325663598973,1.9952424139682823,0.0007044249598227526,0.0,0.3179772223713013,0.6614897184137558,2.5996144183084415
0.37065,370.65,370650.0,-13.71880864880125,-13.71422187569791,4.221875697909137,4.5867731033406764,0.002403226399343059,0.00039412161409735987,-0.0013140360914546117,7.110487840363062,4.111168689631697e-6,-13.136659159929122,21.983776639160734,-8.291769160338768,-0.007587903928993889,0.23795399418785187,2.3009992154629773,0.013163426061715177,1.9952424140406602,0.000704424961487301,0.0,0.31797784918998684,0.6616299255275836,2.573095845972526
0.3707,370.7,370700.0,-13.718427468080193,-13.714153141679954,4.1531416799540635,4.274326400237832,0.012745949335196061,0.0023664965969349703,-0.009609326211258299,7.1102549419356755,0.00021985511960565657,-13.136192122807827,21.448253023662545,-7.726941583594065,-0.04306051873093361,0.23795399834969683,2.3009789881191716,0.013161506919833508,1.9952424189568954,0.0007044250824744388,0.0,0.3179556976628008,0.6615149474224387,2.5464756922184884
0.37075,370.75,370750.0,-13.717676790576915,-13.714009886003264,4.009886003262722,3.6669045736520824,0.01504332839223654,0.0029442879611591135,-0.01258030203252527,7.109773281357564,0.00037681904578466536,-13.13509102169389,20.350248802531677,-6.628870792751575,-0.05233711860514454,0.23795401549070533,2.300939521872076,0.013157235329638849,1.9952424361050851,0.0007044255130399826,0.0,0.317911942229554,0.6614553904183349,2.5197550079643256
0.3708,370.8,370800.0,-13.717118366763726,-13.713897717856586,3.897717856585949,3.220648907139854,0.006295982364990198,0.0013188808507322224,-0.0060341135724528375,7.109398667254755,8.669173001252274e-5,-13.134138168633886,19.506171873566565,-5.822149184805126,-0.022779026833700852,0.2379540274559128,2.3009104455678475,0.013153724170185297,1.9952424464974523,0.0007044257761965703,0.0,0.31787934409840357,0.6614756563433424,2.4929348480970206
0.37085,370.85,370850.0,-13.717006164322033,-13.713872781248002,3.872781248001424,3.133383074030354,-0.0001557228600964896,-1.532010663280688e-5,-2.5230453062326626e-5,7.1093163996051105,1.515656575548255e-9,-13.133890816450904,19.32108262671299,-5.664393802660408,0.00038647420213428033,0.23795402854893669,2.3009046534186015,0.013152855602695144,1.995242447245219,0.0007044257961653869,0.0,0.3178726826128394,0.6614764835239549,2.4660162714304703
0.3709,370.90000000000003,370900.0,-13.716926476016676,-13.713858804040601,3.8588040406009747,3.0676719760735023,0.0051188397162005485,0.0009354045822254746,-0.003532718800747544,7.109268868456925,2.9714528869417058e-5,-13.133799447772283,19.215958064106612,-5.54560413435661,-0.017117452150021934,0.23795402881031835,2.3009006099791915,0.013152502629390987,1.9952424476154031,0.0007044258041044997,0.0,0.31786828582177884,0.6615137066515199,2.439000340664051
0.37095,370.95,370950.0,-13.716430880632926,-13.713764346269507,3.7643462695063135,2.666534363417723,0.013998585767593793,0.00273356638675792,-0.011210265064170352,7.108951298832528,0.0002992143876403769,-13.133059120472154,18.515044349346933,-4.820444984180075,-0.048584444596651295,0.237954036206363,2.300875680021896,0.01314980823731357,1.9952424556050832,0.0007044259854542135,0.0,0.31784065329397826,0.661512465880601,2.411888122340389
0.371,371.0,371000.0,-13.71569415139562,-13.713616753859206,3.616753859206031,2.0773975364128465,0.013420237128423803,0.002759797292874769,-0.011841616925911643,7.108458324151597,0.0003338664081429455,-13.131779598536857,17.440076079573494,-3.7554290212537653,-0.04796622882102309,0.23795405448994508,2.3008389986956344,0.01314538491242089,1.9952424727760276,0.0007044263774570366,0.0,0.31779953106159076,0.6615103979290696,2.3846806868035015
0.37105,371.05,371050.0,-13.715232833828123,-13.713519405807864,3.5194058078619417,1.713428020260526,0.004683451729463204,0.001032505216760595,-0.00474767287319255,7.108135285552262,5.36676135972581e-5,-13.130851540537847,16.74441320052317,-3.0974607413017496,-0.017439622651332982,0.23795406375390687,2.300816268126496,0.01314232627940884,1.995242480352698,0.0007044265512299419,0.0,0.3177737340997328,0.6615099843387634,2.357379108156327
0.3711,371.09999999999997,371100.0,-13.715137982360735,-13.713498016477724,3.4980164777219778,1.6399658830133572,0.000894497414274029,0.00017613328390236183,-0.000703056095861716,7.108064861016178,1.17687589030552e-6,-13.130626514076324,16.593224541061304,-2.964659080884974,-0.003115630459314424,0.23795406442208444,2.300811642808401,0.013141606209385452,1.9952424807945002,0.0007044265618333064,0.0,0.3177683882585438,0.661512465880601,2.3299844642184104
0.37115,371.15,371150.0,-13.714961128691085,-13.713464154797188,3.4641547971878506,1.4969738938957182,0.007418941417984815,0.0014501142097798942,-0.005656478909800278,7.107951119390522,7.618036585003652e-5,-13.13034716819717,16.352651380709442,-2.706164374731406,-0.025727458622464946,0.2379540654760565,2.3008031556773227,0.013140688160576067,1.9952424820412404,0.000704426586743177,0.0,0.3177589818059578,0.6615190833255015,2.3024978364834507
0.3712,371.2,371200.0,-13.714387719644392,-13.713348581754257,3.348581754256133,1.0391378901355497,0.014438507933664546,0.002978148953942246,-0.012270265495097596,7.1075654872867995,0.00035847479838138727,-13.129295805617591,15.542834706877393,-1.8785083361742827,-0.0516323887121284,0.23795407628603976,2.3007759283262144,0.01313735848886255,1.9952424928548889,0.0007044268074757469,0.0,0.31772841373794114,0.6615145338321324,2.274920310076383
0.37125,371.25,371250.0,-13.713687267560251,-13.71320044668532,3.200446685320334,0.48682087492942666,0.011848229971263884,0.0025746351083744652,-0.011058663578794727,7.107074181093762,0.00029117628606895474,-13.127816571032275,14.527095148370025,-0.8800536295133025,-0.04367107585904679,0.23795409477924795,2.3007430394312838,0.013132910882205674,1.9952425091751145,0.0007044271384646677,0.0,0.3176910605666442,0.661512465880601,2.247252973710761
0.3713,371.3,371300.0,-13.713297727476226,-13.713113704610675,3.113704610674937,0.1840228655493759,0.0038717129192690027,0.0008944413801490403,-0.004073336543823978,7.106788263984672,3.950492999821874e-5,-13.126869909523764,13.944109040759326,-0.3326685421278294,-0.014805087734664926,0.23795410220976945,2.3007249549388304,0.01313018868901742,1.9952425149198767,0.0007044272548212878,0.0,0.3176702480124549,0.6615145338321324,2.21949691964565
0.37135,371.35,371350.0,-13.713187110472866,-13.713088804445585,3.0888044455830177,0.098306027282723,0.0022753907640727165,0.00046538134399506204,-0.00181095680278286,7.106706294724022,7.808487003679805e-6,-13.126590925085665,13.778196941382381,-0.177713365569494,-0.008086719114684749,0.23795410285341467,2.300719884901613,0.013129402730464567,1.9952425153861857,0.0007044272642217039,0.0,0.31766439154033055,0.6615137066515199,2.19165324364257
0.3714,371.40000000000003,371400.0,-13.712920776985062,-13.71303415119998,3.0341511999782496,-0.11337421491833397,0.009145493527868321,0.0019087544804938577,-0.007542414988859894,7.1065244016625915,0.00013544767586709143,-13.126045565555573,13.414771316513553,0.20495298059386877,-0.032883375352919644,0.23795410534493658,2.300707860991011,0.013127887884165815,1.9952425180188362,0.0007044273110249987,0.0,0.3176508501014892,0.6615186697351951,2.1637230449221114
0.37145,371.45,371450.0,-13.712302352216058,-13.712901519554542,2.901519554541999,-0.5991673384842005,0.014350098861095673,0.0031509886159917368,-0.012988629617347664,7.106085383457928,0.00040167737937295457,-13.124611198665052,12.548085279268198,1.0831486858390933,-0.053148734573673986,0.23795411938857036,2.300680271349496,0.013124052814188481,1.9952425310829027,0.0007044275433116011,0.0,0.31761941207959804,0.6615161881933576,2.1357074261207583
0.3715,371.5,371500.0,-13.711643593807608,-13.712753187379112,2.7531873791115276,-1.1095935715043996,0.010619785474103235,0.002458847372288693,-0.010527331309313541,7.105597240307536,0.00026386834403822174,-13.122852469542087,11.603460578162219,2.005875056258909,-0.04059281764060666,0.2379541379113788,2.3006512397359504,0.013119607039830563,1.9952425464302515,0.0007044278108393434,0.0,0.3175859190582939,0.661515361012745,2.1076074932471065
0.37155,371.55,371550.0,-13.711295423566357,-13.71267083172196,2.6708317219598046,-1.3754081556036004,0.00375027214326754,0.0009068714277208939,-0.0040270600527692185,7.105327733530316,3.86124111157372e-5,-13.121792440243953,11.090479767737328,2.486403114033718,-0.01472019413660388,0.2379541444929029,2.3006360852104857,0.013117042910650781,1.9952425512662144,0.0007044278941262408,0.0,0.31756819547781956,0.6615166017836638,2.079424355638456
0.3716,371.59999999999997,371600.0,-13.711148277390432,-13.712636771095523,2.6367710955227266,-1.4884937050918063,0.0036848964844210796,0.000807699230183405,-0.0031528993044458533,7.105216012572756,2.366850958089321e-5,-13.121356192928474,10.880308275276283,2.690834257803034,-0.013615753339198509,0.23795414549252208,2.300629774205244,0.013116018787380012,1.9952425520586576,0.0007044279070727628,0.0,0.31756085954291613,0.6615145338321324,2.051159125916757
0.37165,371.65,371650.0,-13.710809569248724,-13.712561860101115,2.5618601011144673,-1.7522908523905045,0.01028156827294559,0.0023114482070590837,-0.00916999805591496,7.104969043812903,0.00020021158177496227,-13.120430607362998,10.421969160598735,3.167715280970189,-0.03856246030291656,0.23795414996860478,2.3006154648257033,0.01311392432010675,1.9952425563597282,0.0007044279719499477,0.0,0.3175444513256786,0.6615149474224387,2.022812919944946
0.3717,371.7,371700.0,-13.710170722959827,-13.712414331018394,2.414331018393923,-2.2436080585684746,0.014030470065044721,0.0033226021404491753,-0.013643718016663935,7.1044851055168,0.0004432167650434287,-13.118458372520415,9.540093940220201,4.055897182787649,-0.05428916163647524,0.23795416712322165,2.300588827483446,0.013109664212559553,1.9952425711767023,0.0007044281909615073,0.0,0.31751353882273253,0.6615141202418261,1.9943868567826664
0.37175,371.75,371750.0,-13.709545038673445,-13.712262230781487,2.2622307814865312,-2.717192108042115,0.009924818500795891,0.0024827753637978118,-0.010536217419069295,7.103989039290765,0.000264313994052141,-13.116221100887058,8.65979863438794,4.912021854268313,-0.03971300512632083,0.2379541863936439,2.300563085894741,0.013105133369270137,1.9952425861146623,0.0007044284034320512,0.0,0.3174832512210375,0.6615141202418261,1.9658820586421537
0.3718,371.8,371800.0,-13.709206770943792,-13.712176082338042,2.176082338040697,-2.9693113942497598,0.0041795793653200625,0.0010748291969889386,-0.004627566790069371,7.1037094703577734,5.098660570607843e-5,-13.114849995982878,8.17452249461964,5.367792147457787,-0.017012625620219008,0.23795419327680747,2.30054935899295,0.013102491320024138,1.9952425909328533,0.0007044284698509534,0.0,0.3174668773785056,0.6615128794709073,1.9372996508441598
0.37185,371.85,371850.0,-13.709012546494563,-13.712127972154043,2.127972154042029,-3.1154256594799126,0.004923993637152427,0.0011816376718028628,-0.0046245041128120355,7.103552909232193,5.091913878432245e-5,-13.114082463951009,7.907305478343164,5.631931168731487,-0.019182515738065106,0.23795419514133329,2.300541603680639,0.013101082202452914,1.995242592398583,0.0007044284885898559,0.0,0.3174577114622915,0.6615137066515199,1.908640761773106
0.3719,371.90000000000003,371900.0,-13.708622436483617,-13.712033307526907,2.0333075269069605,-3.410871043290145,0.010899011044492634,0.0026909934548685005,-0.010647768064904778,7.10324421106027,0.00026994039229525247,-13.11255981490534,7.389930555024943,6.166024499020248,-0.043201237633098695,0.2379542020757733,2.3005262714669854,0.013098432268767779,1.9952425984504043,0.0007044285606496931,0.0,0.3174397231841377,0.6615141202418261,1.8799065228329268
0.37195,371.95,371950.0,-13.707978040960556,-13.711869519986829,1.8695199868272698,-3.891479026271768,0.013749767937367973,0.0035959921472675685,-0.014629277953104217,7.1027127759049895,0.000509561365307574,-13.10969052492765,6.524082846471922,7.0348467323670825,-0.05648343433561858,0.23795422284815831,2.3005013094241265,0.01309373417395772,1.9952426149700073,0.000704428748008062,0.0,0.3174100463187356,0.661515361012745,1.851098068402109
